#,Company,Symbol,Weight,      Price,Chg,% Chg
489,Paramount Global,PARA,0.01%,  11.95,-0.14,(-1.18%)
490,Marketaxess,MKTX,0.01%,  213.69,-0.94,(-0.44%)
491,Norwegian Cruise Line Holdings,NCLH,0.01%,  17.73,0.19,-1.07%
492,Bio-Techne,TECH,0.01%,  48.79,0.86,-1.80%
493,Match Group,MTCH,0.01%,  30.79,0.25,-0.80%
494,Lamb Weston,LW,0.01%,  53.32,-0.05,(-0.08%)
495,Generac,GNRC,0.01%,  127.11,2.56,-2.06%
496,Aes Corporation,AES,0.01%,  9.76,0.06,-0.62%
497,Albemarle Corporation,ALB,0.01%,  58.65,0.6,-1.02%
498,Charles River Laboratories,CRL,0.01%,  137.75,1.5,-1.10%
499,Invesco,IVZ,0.01%,  14.70,0.21,-1.45%
500,Mohawk Industries,MHK,0.01%,  101.68,0.34,-0.34%
501,Apa Corporation,APA,0.01%,  17.32,0.14,-0.81%
502,Caesars Entertainment,CZR,0.01%,  27.82,0.33,-1.18%
503,Enphase Energy,ENPH,0.01%,  39.40,0.44,-1.13%
